model,behavioral_dr,load_leveling,load_shifting,peak_clipping,price_based,tou_optimization,valley_filling
cnn_lstm,0.627,0.69,0.607,0.79,0.598,0.617,0.624
ets,-0.159,-0.441,-0.732,-1.0,-0.366,-0.239,-0.082
gbm,0.646,0.68,0.632,0.792,0.627,0.636,0.631
knn,0.492,0.568,0.464,0.685,0.453,0.47,0.471
linear_regression,0.579,0.612,0.505,0.586,0.519,0.552,0.576
lstm,0.636,0.688,0.603,0.786,0.592,0.613,0.627
persistence,0.414,0.022,0.009,-1.0,0.286,0.385,0.484
random_forest,0.639,0.678,0.629,0.784,0.627,0.633,0.622
seasonal_naive,-0.77,-1.0,-1.0,-1.0,-0.91,-0.795,-0.592
svr,0.548,0.602,0.498,0.736,0.484,0.531,0.543
xgboost,0.652,0.692,0.644,0.791,0.638,0.64,0.636
