DR,scheme,MAE,RMSE,R2
peak_clipping,raw,8.859999656677246,12.4,0.79
peak_clipping,ma6,4.15,5.29,0.937
peak_clipping,ma12,3.09,3.9,0.948
valley_filling,raw,21.5,48.91,0.624
valley_filling,ma6,11.79,19.2,0.869
valley_filling,ma12,9.27,13.42,0.899
load_shifting,raw,22.5,44.65,0.607
load_shifting,ma6,12.14,18.07,0.853
load_shifting,ma12,9.33,12.72,0.886
load_leveling,raw,15.40999984741211,30.24,0.69
load_leveling,ma6,8.2,12.03,0.909
load_leveling,ma12,6.4,8.57,0.937
tou_optimization,raw,22.8799991607666,45.82,0.617
tou_optimization,ma6,12.23,18.4,0.865
tou_optimization,ma12,9.49,13.06,0.897
price_based,raw,23.3799991607666,46.06,0.598
price_based,ma6,12.48,18.41,0.856
price_based,ma12,9.56,12.92,0.893
behavioral_dr,raw,22.170000076293945,45.12,0.627
behavioral_dr,ma6,12.06,18.09,0.873
behavioral_dr,ma12,9.49,13.01,0.901
